classification_E;catégorie;symptome-fr;symptome-en;symptome-en-simple;Comments;CIM_10;CIM11;Orphanet
E1;Période néonatale;Encéphalopathie myoclonique précoce;Benign familial neonatal epilepsy (BFNE);BFNE;Too much common words, keeping acronym;G40.8;8A61.0Y;1935
E2;Période néonatale;Epilepsie néonatale familiale bénigne (BFNE);Early myoclonic encephalopathy (EME);EME;Too much common words, keeping acronym;G40.8;8A61.10;1949
E3;Période néonatale;Syndrome d'ohtahara;Ohtahara syndrome;Ohtahara;syndrome is too common;G40.8;8A62.Y;1934
E31;Nourrisons;Encépahlopathie myoclonique des affections non progressives;Myoclonic encephalopathy in nonprogressive disorders;Myoclonic encephalopathy;simplification;G40.4;8A62.Y;86913
E33;Nourrisons;Epilepsie benigne du nourisson;Benign infantile epilepsy;infantile;generalisation;G40.3;8A61.1Z;166302
E34;Nourrisons;Epilepsie du nourisson avec crises migrantes;Epilepsy of infancy with migrating focal seizures;migrating focal;simplification;G40.8;8A61.12;1943
E35;Nourrisons;Epilepsie familiale benigne du nourisson;Benign familial infantile epilepsy;;;G40.3;8A61.10;306
E36;Nourrisons;Epilepsie myoclonique du nourrisson;Myoclonic epilepsy in infancy (MEI);MEI;Too much common words, keeping acronym;G40.3;8A61.2Y;33069
E37;Nourrisons;Syndrome de Dravet;Dravet syndrome;Dravet syndrome;Dravet;G40.8;8A61.11;33069
E38;Nourrisons;Syndrome de West;West syndrome;West syndrome;West;G40.4;8A62.0;3451
E53;Enfants;"Epilepsie à crises myoclono-atoniques (précédement astatique; Sd de DOOSE)";Epilepsy with myoclonic atonic (previously astatic) seizures;Epilepsy with myoclonic atonic (previously astatic) seizures;myoclonic atonic;G40.4;8A61.22;1942
E54;Enfants;Epilepsie à crises occipitales de début tardif (type Gastaut);Late onset childhood occipital epilepsy (Gastaut type);Late onset childhood occipital epilepsy (Gastaut type);Gastaut type;G40.0;8A61.2Y;98816
E55;Enfants;Epilepsie absence de l'enfant;Childhood absence epilepsy (CAE);Childhood absence epilepsy (CAE);CAE;G40.3;8A61.21;64280
E56;Enfants;Epilepsie absence de l'enfant début précoce < 5 ans;Childhood absence epilepsy (CAE);Childhood absence epilepsy (CAE);CAE;G40.3;8A61.21;64280
E57;Enfants;Epilepsie avec absences myocloniques;Epilepsy with myoclonic absences;Epilepsy with myoclonic absences;myoclonic absences;G40.3;8A61.23;86911
E60;Enfants;Syndrome de Landau-Kleffner;Landau-Kleffner syndrome (LKS);Landau-Kleffner syndrome (LKS);Landau-Kleffner;F80.3;8A62.2;98818
E61;Enfants;Syndrome de Lennox-Gastaut;Lennox-Gastaut syndrome;Lennox-Gastaut syndrome;Lennox-Gastaut;G40.4;8A62.1;2382
E62;Enfants;Syndrome de Panayiotopoulos;Panayiotopoulos syndrome;Panayiotopoulos syndrome;Panayiotopoulos;G40.8;8A61.2Y;98815
E70;Adolescents-Adultes;Autres formes d'épilepsie temporale familiale;Other familial temporal lobe epilepsies;Other familial temporal lobe epilepsies;temporal lobe;G40.0;??;0
E71;Adolescents-Adultes;Epilepsie à crises généralisées tonico-cloniques prédominantes;Epilepsy with generalized tonic–clonic seizures alone;Epilepsy with generalized tonic–clonic seizures alone;tonic-clonic;G40.3;8A68.4;0
E72;Adolescents-Adultes;Epilepsie absence de l'adolescent;Juvenile absence epilepsy (JAE);Juvenile absence epilepsy (JAE);jAE;G40.3;8A61.31;64280
E73;Adolescents-Adultes;Epilepsie avec crises à symptomatologie auditive autosomique dominante (ADEAF);Autosomal dominant epilepsy with auditory features (ADEAF);Autosomal dominant epilepsy with auditory features (ADEAF);ADEAF;G40.0;8A61.3Y;0
E74;Adolescents-Adultes;Epilepsie myoclonique Juvénile;Juvenile myoclonic epilepsy (JME);Juvenile myoclonic epilepsy (JME);JME;G40.3;8A61.30;307
